date	followers	following	medias
2018-09-12 14:44:19	4109	540	266
2018-09-12 15:44:20	4109	540	266
2018-09-12 16:44:20	4109	540	266
2018-09-12 17:44:20	4109	540	266
2018-09-12 18:44:21	4109	540	266
2018-09-12 19:44:21	4111	540	266
2018-09-12 20:44:21	4113	540	267
2018-09-12 21:44:22	4114	540	267
2018-09-12 22:44:22	4116	540	267
2018-09-12 23:44:22	4119	540	267
2018-09-13 00:44:23	4119	540	267
2018-09-13 01:44:23	4119	540	267
2018-09-13 02:44:23	4121	540	267
2018-09-13 03:44:24	4118	540	267
2018-09-13 04:44:24	4117	540	267
2018-09-13 05:44:24	4117	540	267
2018-09-13 06:44:25	4121	540	267
2018-09-13 07:44:25	4117	540	267
2018-09-13 08:44:25	4117	541	267
2018-09-13 09:44:26	4116	541	267
2018-09-13 10:44:26	4117	541	267
2018-09-13 11:44:26	4117	542	267
2018-09-13 12:44:27	4117	542	267
2018-09-13 13:44:27	4117	542	267
2018-09-13 14:44:27	4117	542	267
2018-09-13 15:44:28	4117	542	267
2018-09-13 16:44:30	4117	542	267
2018-09-13 17:44:29	4116	542	267
2018-09-13 18:44:29	4116	542	267
2018-09-13 19:44:30	4116	542	267
2018-09-13 20:44:30	4117	542	267
2018-09-13 21:44:30	4117	542	267
2018-09-13 22:44:31	4117	542	267
2018-09-13 23:44:31	4118	542	268
2018-09-14 00:44:31	4118	433	268
2018-09-14 01:44:32	4117	403	268
2018-09-14 02:44:32	4119	409	268
2018-09-14 03:44:32	4119	410	268
2018-09-14 04:44:33	4119	410	268
2018-09-14 05:44:33	4120	411	268
2018-09-14 06:44:33	4120	411	268
2018-09-14 07:44:34	4120	411	268
2018-09-14 12:07:17	4124	411	268
2018-09-14 12:37:53	4124	411	268
2018-09-14 13:37:53	4127	411	268
2018-09-14 14:37:53	4128	412	268
2018-09-14 15:37:56	4128	412	268
2018-09-14 16:37:56	4128	414	268
2018-09-14 17:37:57	4129	412	268
2018-09-14 18:37:54	4129	412	268
2018-09-14 19:37:55	4129	412	268
2018-09-14 20:37:55	4129	412	268
2018-09-14 21:37:55	4129	413	268
2018-09-14 22:37:55	4129	413	268
2018-09-14 23:37:56	4133	413	268
2018-09-15 00:37:56	4137	414	269
2018-09-15 01:37:56	4143	414	269
2018-09-15 02:37:57	4151	414	269
2018-09-15 03:37:57	4154	414	269
2018-09-15 04:37:57	4158	414	269
2018-09-15 05:37:58	4160	414	269
2018-09-15 06:37:58	4160	414	269
2018-09-15 07:37:58	4160	414	269
2018-09-15 08:37:58	4160	416	269
2018-09-15 09:37:59	4160	416	269
2018-09-15 10:37:59	4161	416	269
2018-09-15 11:37:59	4163	416	269
2018-09-15 12:38:00	4163	416	269
2018-09-15 13:38:00	4164	418	269
2018-09-15 14:38:01	4164	418	269
2018-09-15 15:38:01	4165	416	269
2018-09-15 16:38:01	4165	418	269
2018-09-15 17:38:02	4165	418	269
2018-09-15 18:38:01	4166	418	269
2018-09-15 19:38:02	4166	418	269
2018-09-15 20:38:02	4167	419	269
2018-09-15 21:38:02	4166	419	269
2018-09-15 22:38:03	4167	419	269
2018-09-15 23:38:03	4167	419	269
2018-09-16 00:38:03	4168	406	269
2018-09-16 01:38:04	4169	406	269
2018-09-16 02:38:04	4169	407	269
2018-09-16 03:38:04	4169	407	269
2018-09-16 04:38:05	4169	407	269
2018-09-16 05:38:05	4168	407	269
2018-09-16 06:38:05	4169	407	269
2018-09-16 07:38:06	4169	407	269
2018-09-16 08:38:06	4169	407	269
2018-09-16 09:38:06	4169	407	269
2018-09-16 10:38:07	4169	407	269
2018-09-16 11:38:08	4171	407	269
2018-09-16 12:38:08	4171	407	269
2018-09-16 13:38:08	4171	407	269
2018-09-16 14:38:09	4170	408	269
2018-09-16 15:38:10	4169	408	269
2018-09-16 16:38:09	4170	408	269
2018-09-16 17:38:10	4170	408	269
2018-09-16 18:38:10	4170	408	269
2018-09-16 19:38:10	4170	408	269
2018-09-16 20:38:10	4169	408	269
2018-09-16 21:38:11	4171	408	269
2018-09-16 22:38:11	4172	408	269
2018-09-16 23:38:11	4173	408	269
2018-09-17 00:38:11	4173	408	269
2018-09-17 01:38:12	4173	409	269
2018-09-17 02:38:12	4173	409	269
2018-09-17 03:38:13	4174	409	269
2018-09-17 04:38:13	4174	409	269
2018-09-17 05:38:13	4174	409	269
2018-09-17 06:38:14	4175	409	269
2018-09-17 07:38:14	4174	409	269
2018-09-17 08:38:14	4174	411	269
2018-09-17 09:38:14	4174	411	269
2018-09-17 10:38:14	4174	411	269
2018-09-17 11:38:15	4174	411	269
2018-09-17 12:38:15	4174	411	269
2018-09-17 13:38:15	4174	412	269
2018-09-17 14:38:16	4175	412	269
2018-09-17 15:38:16	4175	412	269
2018-09-17 16:38:17	4175	412	269
2018-09-17 17:38:17	4175	412	269
2018-09-17 18:38:17	4175	412	269
2018-09-17 19:38:17	4176	412	269
2018-09-17 20:38:17	4180	412	269
2018-09-17 21:38:18	4180	412	269
